Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Pré-vendeur à meknès (food),SAPLINCO,Commercial / Vente,Meknès,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,28 Apr-9:56,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10342877/Pré-vendeur-à-Meknès-(Food).html
Pré-vendeur à tanger (food),SAPLINCO,Commercial / Vente,Tanger,,probante dans le,A discuter,28 Apr-9:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10322315/Pré-vendeur-à-Tanger-(Food).html
Chef de cuisine – seafood specialist,établissement de luxe,Tourisme / Hôtellerie / Restauration,El jadida,"requises : expertise en cuisine gastronomique, specialite seafood maitrise des techniques de cuisson et de preparation du poisson creation de menus et dressage haut de gamme gestion dequipe et coordination en cuisine respect des standards haccp si vous etes interesse(e) par cette opportunite et que votre profil correspond, merci de nous transmettre votre candidature.","confirmee en tant que chef de cuisine dans un environnement haut de gamme excellente maitrise des produits de la mer et des techniques associees sens aigu du detail, creativite et exigence de qualite leadership naturel et capacite a federer une equipe bonne resistance au stress et sens de lorganisation",A discuter,28 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370191/Chef-de-cuisine-–-Seafood-Specialist.html
Commis de cuisine,Hôtel de luxe,Tourisme / Hôtellerie / Restauration,El jadida,"requises : techniques de base en cuisine connaissance des regles haccp rigueur et polyvalence gestion du temps adaptabilite si vous etes interesse par cette opportunite et que votre profil correspond, merci de nous transmettre votre candidature. rejoignez-nous et construisez votre avenir avec artus maroc !",en cuisine et souhaitez relever un nouveau defi dans un environnement dynamique ? cette opportunite est faite pour vous ! - lieu : el jadida,Interim,28 Apr-9:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370180/Commis-de-cuisine.html
Planner / draftsman a mzinda el youssoufia,ANONYME,Industrie / Ingénierie / Energie,Casablanca,,s exigees de 2 a 4 ans dans le,Interim,28 Apr-9:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370676/PLANNER-DRAFTSMAN-A-MZINDA-EL-YOUSSOUFIA.html
Receptionniste hotel marrakech,,,Marrakech,"premiere experience en hotellerie ou en accueil souhaitee excellente presentation, sens du service et du relationnel organisation, autonomie et rigueur maitrise du francais et de langlais (une 3e langue est un plus) connaissance dun logiciel de reservation (pms) appreciee ce que nous offrons : un environnement de travail convivial une equipe soudee et bienveillante possibilites devolution au sein de lhotel","en hotellerie ou en accueil souhaitee excellente presentation, sens du service et du relationnel organisation, autonomie et rigueur maitrise du francais et de langlais (une 3e langue est un plus) connaissance dun logiciel de reservation (pms) appreciee ce que nous offrons : un environnement de travail convivial une equipe soudee et bienveillante possibilites devolution au sein de lhotel",,28 Apr-9:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10170443/RECEPTIONNISTE-HOTEL-MARRAKECH.html
Chargé marketing,DEKRA,Banque / Finance / Assurance,Casablanca,,,Interim,28 Apr-9:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370665/Chargé-marketing.html
Cariste,MFE,Autre,Casablanca,"- titulaire du caces (ou permis equivalent) - experience souhaitee en tant que cariste - serieux, rigoureux et ponctuel - lieu : tit mellil","souhaitee en tant que cariste - serieux, rigoureux et ponctuel - lieu : tit mellil",Interim,28 Apr-9:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370661/Cariste.html
Technicien de maintenance et réseau informatique,SOCIÉTÉ MAROCAINE,Informatique / Multimédia / Internet,Casablanca,".bac+2 en maintenance et reseaux informatiques, systemes ou equivalent .premiere experience souhaitee dans un poste similaire (debutant accepte) .connaissance en maintenance et reseaux informatique .sens de l'organisation et esprit d'equipe .mobilite nationale",souhaitee dans un poste similaire (debutant accepte) .connaissance en maintenance et reseaux informatique .sens de l'organisation et esprit d'equipe .mobilite nationale,A discuter,28 Apr-9:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370660/Technicien-de-maintenance-et-réseau-informatique.html
Manager (h/f) - rabat,McDonald's,Tourisme / Hôtellerie / Restauration,Rabat,"comportementales, manageriales et operationnelles, il pourra evoluer vers le poste de 1er assistant apres avoir rempli les criteres pour passer le conseil de nomination et decrocher eventuellement le poste de directeur de restaurant une fois ses","en management, relation client, vente, etc...est souhaitable , bonne maitrise de la relation client animation d'equipe pratique professionnelle de la langue francaise.",CDI,28 Apr-9:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10331574/Manager-(hf)-rabat.html
Contrôleur matériel projet mzinda / el youssoufia,ANONYME,Industrie / Ingénierie / Energie,Casablanca,,s exigees de 2 a 4 ans dans un,Interim,28 Apr-9:28,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370656/Contrôleur-Matériel-projet-MZINDA-EL-YOUSSOUFIA.html
Electricien de bâtiment - agadir,Confidentiel,Construction / Btp,Agadir,,,Interim,28 Apr-9:28,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365120/Electricien-de-Bâtiment-Agadir.html
Hse superviseur a mzinda el youssoufia,ANONYME,Industrie / Ingénierie / Energie,Casablanca,,s exigees de 2 a 4 ans,Interim,28 Apr-9:22,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370653/HSE-SUPERVISEUR-A-MZINDA-EL-YOUSSOUFIA.html
Assistant supply chain - casablanca - cfc ( h/f ),DAMA,Industrie / Ingénierie / Energie,Casablanca,"analytiques, organisationnelles et de resolution de problemes. excellentes capacites de communication et de coordination. maitrise dexcel et des outils de supply chain ; la connaissance de sap est un plus. bon niveau en anglais.","en supply chain ou logistique, idealement dans la region africaine. solides",Interim,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370647/Assistant-Supply-Chain-Casablanca-CFC-(-HF-).html
Pompiste - bouskoura,RH,Autre,Bouskoura,,dans un poste similaire.,Interim,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10334449/Pompiste-Bouskoura.html
Superviseur terrain tanger,BEST PROFIL,Marketing / Communication / Publicité / Rp,Tanger,"profil recherche : bac+2 en commerce, marketing ou gestion. experience en animation terrain et/ou en supervision dequipe. dynamique, reactif et oriente resultats.","en animation terrain et/ou en supervision dequipe. dynamique, reactif et oriente resultats.",Interim,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370650/superviseur-terrain-Tanger.html
Opérateur de câblage en intérim - tanger,Confidentiel,Industrie / Ingénierie / Energie,Tanger,,,Interim,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369907/Opérateur-de-câblage-en-intérim-Tanger.html
Technicien ordonnancement – tanger,Confidentiel,Industrie / Ingénierie / Energie,Tanger,"bac +2 / bac +3 en genie industriel, production ou logistique experience souhaitable dans un environnement industriel rigueur, organisation et esprit danalyse langue : francais : bon niveau","souhaitable dans un environnement industriel rigueur, organisation et esprit danalyse langue : francais : bon niveau",CDI,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370635/Technicien-Ordonnancement-–-Tanger.html
Chargé de portefeuille - salé et régions,Fondation Arrawaj,Banque / Finance / Assurance,Salé,"pour le poste : charge de portefeuille - sale - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,28 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370634/Chargé-de-Portefeuille-Salé-et-régions.html
Operateur de machine - casablanca,DAMA,Industrie / Ingénierie / Energie,Casablanca,- niveau bac ou qualification. - de preference 1 an d'experience dans le secteur industriel. - sens de travailler en equipe / sens decoute. - communication / organisation,dans le secteur industriel. - sens de travailler en equipe / sens decoute. - communication / organisation,Interim,28 Apr-9:12,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367007/OPERATEUR-DE-MACHINE-CASABLANCA.html
Manutentionnaire,MFE,Autre,Mohammedia,"bonne condition physique serieux, ponctuel et motive une premiere experience en manutention est un atout lieu : zone industrielle de mohammedia type de",en manutention est un atout lieu : zone industrielle de mohammedia type de,Interim,28 Apr-8:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370628/Manutentionnaire.html
Stagiaire au service achat,société,Transport / Achat / Logistique,Temara,,,Stage,28 Apr-8:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10324776/stagiaire-au-service-Achat.html
Animateur en crédit électroménager,Filiale,Banque / Finance / Assurance,Casablanca,"en communication et negociation. maitrise des techniques de vente et des outils informatiques (word, excel, powerpoint).","de 3 a 6 ans dans le credit a la consommation, la banque ou la vente d'electromenager. excellentes",CDI,27 Apr-22:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364925/Animateur-en-crédit-électroménager.html
Commercial poids lourd,Filiale,Automobile,Casablanca,bac+2 en technico-commercial dans la vente de vehicules et pieces de rechange. avoir 5 ans dexperience dans un poste similaire dans vente de pieces de rechange poids lourd,dans un poste similaire dans vente de pieces de rechange poids lourd,CDI,27 Apr-22:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10354641/Commercial-POIDS-LOURD.html
Vendeur détail à fes,Confidentiel,Grande Distribution,Fès,formation : - bac+2/3 ; avoir un diplome de technicien specialise en commerce ou la gestion des,,CDI,27 Apr-20:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370485/Vendeur-détail-à-Fes.html
Profils hôtellerie - marrakech,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,27 Apr-18:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370404/Profils-Hôtellerie-Marrakech.html
Technicienne contrôle qualité / bac+2/3,PLUS INTERIM,Autre,Casablanca,"- bac+2/3 en qualite, industrie ou","souhaitee dans un poste similaire - rigueur, sens du detail et esprit danalyse",,27 Apr-18:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10323629/Technicienne-contrôle-qualité-bac23.html
Account manager - systèmes de vidéo surveillance,Agence de recrutement,Informatique / Multimédia / Internet,Tanger,"formation bac+3/5 en commerce, technique ou equivalent experience confirmee en vente de solutions de securite electronique ou it bonne connaissance des systemes de videosurveillance (cctv) est obligatoire excellent sens commercial et relationnel autonomie, rigueur et orientation resultats mobilite sur la region de tanger conditions : poste base sur la region de tanger package attractif","confirmee en vente de solutions de securite electronique ou it bonne connaissance des systemes de videosurveillance (cctv) est obligatoire excellent sens commercial et relationnel autonomie, rigueur et orientation resultats mobilite sur la region de tanger conditions : poste base sur la region de tanger package attractif",CDI,27 Apr-17:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363709/Account-manager-systèmes-de-vidéo-surveillance.html
Chargé d'affaires btp,AFRICA STAFFING,Construction / Btp,Casablanca,(obligatoire),d'au moins 3 ans dans un poste commercial terrain dans le,CDI,27 Apr-17:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10339753/Chargé-daffaires-BTP.html
Chef de rang expérimenté tanger,RAY'S SAN FRANCISCO,Tourisme / Hôtellerie / Restauration,Tanger,,"raffinee, cette opportunite est faite pour vous.",A discuter,27 Apr-17:27,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370375/Chef-de-Rang-expérimenté-Tanger.html
Chef de partie cuisine - tanger,RAY'S SAN FRANCISCO,Tourisme / Hôtellerie / Restauration,Tanger,"experience confirmee en tant que chef de partie en cuisine chaude. maitrise des techniques de cuisson et des preparations chaudes. capacite a encadrer une equipe et a travailler sous pression. rigueur, organisation et sens du detail. dynamisme et professionnalisme. nous offrons : un environnement de travail dynamique. opportunites devolution au sein du restaurant.","confirmee en tant que chef de partie en cuisine chaude. maitrise des techniques de cuisson et des preparations chaudes. capacite a encadrer une equipe et a travailler sous pression. rigueur, organisation et sens du detail. dynamisme et professionnalisme. nous offrons : un environnement de travail dynamique. opportunites devolution au sein du restaurant.",A discuter,27 Apr-17:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370373/Chef-de-Partie-Cuisine-Tanger.html
Inventorist à médiouna - tit melil,Confidentiel,Transport / Achat / Logistique,Casablanca,"bac+2 (logistique, gestion, ou equivalent) experience souhaitee dans un poste similaire maitrise des outils informatiques sens de lorganisation, rigueur et precision","souhaitee dans un poste similaire maitrise des outils informatiques sens de lorganisation, rigueur et precision",A discuter,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370366/Inventorist-à-Médiouna-Tit-Melil.html
Caissières | fès,HOTIN,Commercial / Vente,Fès,"niveau bac ou plus une premiere experience en caisse, idealement en grande distribution ou secteur alimentaire sens du service et excellente presentation rapidite, rigueur et sens des responsabilites bonne communication en francais (larabe est un atout) disponibilite pour travailler en shift",client fluide et agreable en fin de parcours dachat gerer louverture et la cloture de caisse veiller a la bonne tenue de lespace caisse contribuer a la fidelisation de la clientele,A discuter,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370370/Caissières-|-Fès.html
Cariste avec permis caces à tit melil,Confidentiel,Transport / Achat / Logistique,Casablanca,,,A discuter,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370364/Cariste-avec-permis-CACES-à-Tit-melil.html
Agent d'exploitation à el jadida,Confidentiel,Transport / Achat / Logistique,El jadida,,,CDI,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370369/Agent-dexploitation-à-El-jadida.html
Préparateur de commandes à tit melil,Confidentiel,Transport / Achat / Logistique,Casablanca,"experience souhaitee en preparation de commandes ou en logistique rigueur, rapidite et sens de lorganisation capacite a travailler en equipe et a gerer la cadence residence a casablanca ou a proximite souhaitee","souhaitee en preparation de commandes ou en logistique rigueur, rapidite et sens de lorganisation capacite a travailler en equipe et a gerer la cadence residence a casablanca ou a proximite souhaitee",CDI,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370363/Préparateur-de-commandes-à-Tit-Melil.html
Manutentionnaire à mohammedia,Confidentiel,Transport / Achat / Logistique,Mohammedia,"- bonne condition physique (travail debout, port de charges) - serieux, ponctuel, dynamique - disponible immediatement - residant a mohammedia ou environs",,A discuter,27 Apr-17:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370361/Manutentionnaire-à-Mohammedia.html
Ferrailleur – bouskoura / ouled saleh,vhp,Autre,Bouskoura,"experience souhaitee dans un poste similaire serieux, ponctuel et motive disponible immediatement","souhaitee dans un poste similaire serieux, ponctuel et motive disponible immediatement",A discuter,27 Apr-17:06,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370356/Ferrailleur-–-Bouskoura-Ouled-Saleh.html
Superviseur (expérience minimum 1 an),prestation de service,Ressources Humaines / Recrutement / Intérim,Casablanca,"experience minimum dun an dans un poste similaire bon sens de lorganisation et de la gestion des priorites leadership et esprit dequipe excellentes capacites de communication reactivite et sens de linitiative maitrise des outils informatiques - pour les interesses, merci de nous envoyer votre candidature. candidature. salutations.",", capable dencadrer une equipe et dassurer le bon deroulement des operations.",CDD,27 Apr-16:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10349061/Superviseur-(Expérience-minimum-1-an).html
Femme de menage,prestation de service,Autre,Casablanca,"personne soignee et presentable serieuse, ponctuelle et discrete sens du detail et du travail bien fait experience en menage/entretien (souhaitee mais non obligatoire) capacite a travailler de maniere autonome nettoyage et entretien des pieces (sols, surfaces, sanitaires, cuisine, etc.) depoussierage, rangement et aeration des espaces utilisation correcte des produits et materiel dentretien respect des regles dhygiene et de confidentialite conditions","en menage/entretien (souhaitee mais non obligatoire) capacite a travailler de maniere autonome nettoyage et entretien des pieces (sols, surfaces, sanitaires, cuisine, etc.) depoussierage, rangement et aeration des espaces utilisation correcte des produits et materiel dentretien respect des regles dhygiene et de confidentialite conditions",A discuter,27 Apr-16:54,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10276201/femme-de-menage.html
Conseillère commerciale (secteur automobile) – débutante,Anonyme,Commercial / Vente,Mohammedia,"commerciales, cette opportunite est faite pour vous !",,A discuter,27 Apr-16:36,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370316/Conseillère-commerciale-(secteur-automobile)-–-débutante.html
Analystes financiers bilingues - intérim,Confidentiel,Informatique / Multimédia / Internet,Casablanca,"en communication en anglais, a loral comme a lecrit. experience averee dans la collaboration avec des partenaires metiers, aisance dans un environnement en evolution, capacite a travailler sous pression et a respecter des delais serres. profil analytique, rigoureux et oriente detail, avec de bonnes","averee dans la collaboration avec des partenaires metiers, aisance dans un environnement en evolution, capacite a travailler sous pression et a respecter des delais serres. profil analytique, rigoureux et oriente detail, avec de bonnes",Interim,27 Apr-16:36,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370306/Analystes-financiers-bilingues-intérim.html
Profil restauration f&b - agadir,Artus,Tourisme / Hôtellerie / Restauration,Agadir,,,Interim,27 Apr-16:36,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370300/Profil-Restauration-F-et-B-Agadir.html
Vendeuse / conseillère en parapharmacie - rahma casablanca,Lofana Beauté,Commercial / Vente,Casablanca,"serieuse, dynamique et motivee * bon sens du contact et du conseil client * interet pour la parapharmacie et la dermo-cosmetique * une premiere experience est un plus lieu : rahma casablanca cv via whatsapp : 0655721197",est un plus lieu : rahma casablanca cv via whatsapp : 0655721197,A discuter,27 Apr-16:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370298/Vendeuse-conseillère-en-parapharmacie-rahma-casablanca.html
Electricien de bâtiment - larache,Anonyme,Maintenance / Entretien,Larache,,,Interim,27 Apr-16:17,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10239647/Electricien-de-Bâtiment-Larache.html
Femme de chambre - marrakech,RH,Tourisme / Hôtellerie / Restauration,Marrakech,,dans un poste similaire,Interim,27 Apr-16:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370291/Femme-de-chambre-Marrakech.html
Infirmière préleveuse,confidentiel,Santé / Médical,Casablanca,diplome dinfirmier(ere) polyvalente experience en prelevements souhaitee,en prelevements souhaitee,CDI,27 Apr-16:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10319092/Infirmière-préleveuse.html
Frigoriste expérimenté h/f rabat,ManpowerGroupe,Industrie / Ingénierie / Energie,Rabat,,de 4 ans minimum dans un poste similaire pour un,Interim,27 Apr-16:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370269/Frigoriste-Expérimenté-HF-Rabat.html
Carrossier voiture rabat,DEKRA,Automobile,Rabat,,,Interim,27 Apr-15:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370238/carrossier-voiture-Rabat.html
Contrôleur f&b h / f téchnopolice salé,ManpowerGroupe,Tourisme / Hôtellerie / Restauration,Salé,,"de 3 ans en controle de gestion f&b, idealement dans lhotellerie de luxe. -avoir une excellente maitrise des techniques de controle des couts et daudit. -etre rigueur et sens du detail. -avoir lesprit analytique et capacite a anticiper les problemes. -avoir un bon relationnel et aptitude a collaborer avec differents departements. -avoir lintegrite, sens de la confidentialite, la reactivite et capacite a gerer les imprevus. -etre capable de travailler en equipe",Interim,27 Apr-15:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370212/Contrôleur-F-et-B-H-F-Téchnopolice-Salé.html
"Techniciens sav à rabat (informatique, électronique)",DEKRA Services,,Rabat,"- bac+2/3 en electronique, informatique ou reseaux avec une 1ere experience dans une",dans une,,27 Apr-14:52,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367759/Techniciens-sav-à-rabat-(informatique,-électronique).html"
