Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Responsable commercial villas de luxe à,Bali Signature,Commercial / Vente,Marrakech,"- excellente presentation et sens du relationnel - experience confirmee dans la vente, idealement dans limmobilier ou le - haut de gamme - maitrise parfaite du francais (langlais est un atout) - sens de lecoute, organisation et rigueur - esprit commercial, perseverance et orientation resultats - bonne maitrise des outils informatiques localisation : marrakech (sur site bureau de vente du projet) type de",haut de gamme - organiser et realiser les visites des villas temoins et du projet - repondre aux appels telephoniques et aux demandes din,CDD,30 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372148/Responsable-commercial-villas-de-luxe-à-Marrakech.html
Pré vendeur à (food),SAPLINCO,Commercial / Vente,Tanger,,probante dans le,A discuter,30 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10322315/Pré-vendeur-à-Tanger-(Food).html
Pré vendeur à,Confidentiel,Grande Distribution,Tanger,,probante dans le,A discuter,30 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10334353/Pré-vendeur-à-Tanger.html
Ingénieur technico commercial / prescripteur en pvc,confident,Commercial / Vente,Casablanca,,2ans minimum en prescription poste base a nouaceur - casablanca disponibilite : asap,CDI,30 Apr-9:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363509/Ingénieur-technico-commercial-prescripteur-en-pvc.html
Agent de recouvrement terrain (h/f),confidentiel,Industrie / Ingénierie / Energie,Casablanca,"(obligatoire) bac+2 / bac+3 en gestion, comptabilite ou",dans un poste similaire.,A discuter,30 Apr-9:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369796/Agent-de-recouvrement-terrain-(HF).html
Technicien froid/energie/,sarl,Industrie / Ingénierie / Energie,Casablanca,,de 2 ans dans un poste similaire. le poste est base a casablanca.,Interim,30 Apr-9:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371438/Technicien-froidEnergie.html
Responsable qhse,---,Autre,Casablanca,,,CDI,30 Apr-9:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372137/responsable-QHSE.html
Responsable marketing digital (content & ads ),centre de formation,Marketing / Communication / Publicité / Rp,Kénitra,"niveau d'etudes : bac+4/5 en marketing, communication experience souhaitee de 1ans a 3ans en communication digitale et creation visuelle maitrise des reseaux sociaux et des outils de creation graphique (type adobe, canva...) excellentes qualites redactionnelles pour postuler envoyez votre cv merci","souhaitee de 1ans a 3ans en communication digitale et creation visuelle maitrise des reseaux sociaux et des outils de creation graphique (type adobe, canva...) excellentes qualites redactionnelles pour postuler envoyez votre cv merci",CDI,30 Apr-9:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363492/Responsable-Marketing-Digital-(Content-et-Ads-).html
Agent de surveillance cctv camera expérimenté,G4S,Sécurité / Surveillance / Gardiennage,Casablanca,si vous etes un agent surveillance camera (cctv) avec une experience dans le,dans le,CDD,30 Apr-9:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10331469/Agent-de-Surveillance-CCTV-Camera-Expérimenté.html
Chauffeur permis c,Confidentiel,Grande Distribution,Marrakech,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,30 Apr-9:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372133/Chauffeur-Permis-C-Marrakech.html
Chargée d'import,Confidentiel,Transport / Achat / Logistique,Casablanca,"formation en import, logistique ou","dans un poste similaire bonne maitrise de la reglementation liee a limport connaissance des procedures dimportation et de lassurance transport rigueur, organisation et sens du detail bon relationnel et capacite a travailler en equipe poste base a casablanca",Interim,30 Apr-9:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362703/Chargée-dImport-Casablanca.html
Opérateur de production agroalimentaire,DAMA,Industrie / Ingénierie / Energie,Casablanca,bac +2 experience en technique et maintenance sens de lorganisation et rigueur esprit dequipe et reactivite,en technique et maintenance sens de lorganisation et rigueur esprit dequipe et reactivite,Interim,30 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372132/Opérateur-de-Production-Agroalimentaire.html
Assistante achat,---,Autre,Casablanca,,,CDI,30 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372131/Assistante-achat.html
Agent de saisie / gestion de stock,TROIS PALMIER,Tourisme / Hôtellerie / Restauration,Rabat,"requises : maitrise des outils informatiques (excel, logiciel de gestion) rigueur et sens de lorganisation capacite danalyse et de controle reactivite et sens des responsabilite",,CDI,30 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372130/Agent-de-saisie-Gestion-de-stock.html
Brigades cuisine,BEST PROFIL,Tourisme / Hôtellerie / Restauration,Al hoceima,experience obligatoire dans un poste similaire,obligatoire dans un poste similaire,Interim,30 Apr-9:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372128/Brigades-Cuisine.html
Manager point de vente (restauration),PAUL,Tourisme / Hôtellerie / Restauration,Rabat,"formation bac+2 ou plus en gestion, commerce ou restauration, avec une experience confirmee en management dans la restauration, la boulangerie ou le retail. leadership, sens du service, esprit danalyse et capacite dorganisation sont indispensables. le candidat doit etre oriente resultats, capable de gerer la pression, de prendre des decisions rapides et de federer une equipe autour des objectifs. bonne communication, rigueur et disponibilite horaire requises. une connaissance des standards qualite et hygiene est fortement souhaitee.","confirmee en management dans la restauration, la boulangerie ou le retail. leadership, sens du service, esprit danalyse et capacite dorganisation sont indispensables. le candidat doit etre oriente resultats, capable de gerer la pression, de prendre des decisions rapides et de federer une equipe autour des objectifs. bonne communication, rigueur et disponibilite horaire requises. une connaissance des standards qualite et hygiene est fortement souhaitee.",CDI,30 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372126/manager-point-de-vente-(restauration).html
Technicien de maintenance en automobile,SOLANO EMLPOI,Autre,Casablanca,,dans le,Interim,30 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368215/Technicien-de-maintenance-en-automobile.html
Expert fleet services,BEST PROFIL,Autre,Casablanca,,,Interim,30 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10357177/Expert-fleet-services-casablanca.html
Mécanicien ( automobile ),SOLANO EMLPOI,Autre,Casablanca,,en mecanique automobile et poids lourds.,Interim,30 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368211/Mécanicien-(-Automobile-).html
Cariste c5,SOLANO EMLPOI,Autre,Casablanca,,,Interim,30 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10341688/Cariste-c5.html
Technical sales representative (data center & site,DEKRA Services,International / Télécommunication,Casablanca,"diplome bac+4/+5 (idealement en ingenierie, energie, it ou","dau moins 3 ans en vente de solutions techniques (energie, telecom, it ou data center) - bonne comprehension des infrastructures energetiques ou des data centers - capacite a travailler dans un environnement international et transverse - esprit dinitiative, autonomie et excellent relationnel - maitrise de langlais indispensable atouts supplementaires - experience en vente de solutions complexes (b2b) - connaissance du marche africain ou des grands comptes regionaux - capacite a gerer des projets strategiques",CDD,30 Apr-8:52,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372120/Technical-Sales-Representative-(Data-Center-et-Site.html
Technicien maintenance (zone de coupe) / bac+2,SEWS MAROC AIN AOUDA,Maintenance / Entretien,Temara,"maitrise des systemes de maintenance et capacite d'interpretation des manuels techniques. aptitudes : rigueur, autonomie, esprit d'analyse et reactivite. vous savez gerer le stress et respecter les delais de production. conditions: poste base a ain aouda (transport assure). disponibilite immediate souhaitee. pour postuler : veuillez transmettre votre cv via lannonce sur marocannonces.",2 ans minimum sur un poste similaire en zone lead prep (coupe) au sein du secteur cablage automobile.,CDI,30 Apr-8:52,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10298171/Technicien-maintenance-(zone-de-coupe)-bac2.html
Opérateur de production à,Action Tanger,Industrie / Ingénierie / Energie,Tanger,"experience en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux","en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux",CDD,30 Apr-8:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365874/Opérateur-de-production-à-Tanger.html
Directeur technique hôtel de luxe,Hôtel 5 étoiles,Maintenance / Entretien,Tanger,maitrise approfondie des outils de gmao et des systemes de gtb (gestion technique du batiment).,"minimum 5 a 8 ans sur un poste similaire, imperativement dans l'hotellerie de luxe (5*) ou au sein de complexes immobiliers de haut standing.",CDI,30 Apr-8:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371423/Directeur-Technique-Hôtel-de-Luxe.html
Gestionnaire e commerce,Domino RH,Commercial / Vente,Bouskoura,"premiere experience en e-commerce, administration ou gestion operationnelle maitrise de shopify obligatoire excellent niveau en francais (ecrit et oral) organisee, rigoureuse et reactive autonome avec un bon sens des priorites bon relationnel avec les partenaires et prestataires interet pour la mode, le lifestyle et les marques emergentes","en e-commerce, administration ou gestion operationnelle maitrise de shopify obligatoire excellent niveau en francais (ecrit et oral) organisee, rigoureuse et reactive autonome avec un bon sens des priorites bon relationnel avec les partenaires et prestataires interet pour la mode, le lifestyle et les marques emergentes",CDI,30 Apr-8:32,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370071/Gestionnaire-e-commerce-bouskoura.html
Opérateur de machine / ain sbaa,DominoRH,Industrie / Ingénierie / Energie,Casablanca,,dans un poste similaire niveau bac+diplome transport non assure,Interim,30 Apr-8:32,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352189/Opérateur-de-machine-ain-sbaa-casablanca.html
Technicien hydraulique ou gr,SI,Construction / Btp,Beni Mellal,,dans le suivi des travaux et la maitrise duvre.,A discuter,30 Apr-8:17,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372065/Technicien-Hydraulique-ou-GR.html
Comptable opérationnel h/f,Omniserv Solutions sarl,Comptabilité / Gestion / Audit,Marrakech,"essentielles : maitrise complete de la saisie comptable (achats, ventes, banques, operations diverses). rapprochements bancaires maitrises. *gestion rigoureuse des comptes clients et fournisseurs. tres bonne comprehension du cycle comptable et des pieces justificatives. atouts supplementaires : experience en comptabilite europeenne (francaise, belge ou luxembourgeoise). experience en rappels clients / relances de paiements, utile pour le suivi des comptes clients.",2 a 3 ans minimum en comptabilite ; une experience en fiduciaire ou cabinet constitue un reel atout.,CDI,30 Apr-8:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372040/Comptable-opérationnel-HF.html
Commercial immobilier,Ayad Developpement,Immobilier,Casablanca,"experience en centre d'appel obligatoire excellent sens de la communication et de la negociation oriente(e) resultats, organise(e) et autonome ce que nous offrons",en centre d'appel ? rejoignez notre equipe specialisee dans l'immobilier haut de gamme ! vos,CDI,29 Apr-23:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365790/Commercial-immobilier.html
Community manager,LE 25 IMMOBILIER,Informatique / Multimédia / Internet,Marrakech,"en photo, video et montage (canva, capcut, adobe, etc.) * creatif(ve), dynamique et force de proposition * sens esthetique developpe et interet pour limmobilier * bonne communication en francais (langlais est un plus) ce que nous offrons * un environnement de travail jeune, dynamique et entrepreneurial * lopportunite de participer au developpement digital dune agence en pleine croissance * un cadre de travail stimulant au cur de marrakech * des projets creatifs et des possibilites devolution",en community management ou creation de contenu appreciee * bonne maitrise des reseaux sociaux et des tendances digitales,Anapec,29 Apr-22:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365009/COMMUNITY-MANAGER.html
Directeur technique ingénieur en électricité,Smart Electro Rafik,Industrie / Ingénierie / Energie,Casablanca,"pour le poste : directeur technique - ingenieur d'etat en electricite, laureat d'une grande ecole d'ingenieur en genie electrique, vous justifiez d'une experience significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.","significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.",A discuter,29 Apr-21:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369242/Directeur-technique-ingénieur-en-électricité.html
Auditeur senior,Filiale,Banque / Finance / Assurance,Casablanca,"formation bac+5 (encg, iscae, master cca ou equivalent) experience de 3 a 4 ans en cabinet bonne maitrise des normes comptables marocaines et de la demarche daudit bon esprit danalyse, de rigueur et de synthese connaissance des outils : excel, powerpoint, logiciels metiers esprit dequipe, engagement, autonomie et sens des responsabilites","de 3 a 4 ans en cabinet bonne maitrise des normes comptables marocaines et de la demarche daudit bon esprit danalyse, de rigueur et de synthese connaissance des outils : excel, powerpoint, logiciels metiers esprit dequipe, engagement, autonomie et sens des responsabilites",CDI,29 Apr-21:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361726/Auditeur-Senior.html
Crm manager (h/f),Multinational,Mode / Luxe / Beauté,Casablanca,relationnelles et organisationnelles,client cross-canal - superviser la qualite et la conformite des donnees clients,CDI,29 Apr-21:19,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371997/CRM-Manager-(HF)-–-Casablanca.html
Sage femme,AKD,Santé / Médical,Guelmim,,,CDI,29 Apr-21:19,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371996/Sage-femme-GUELMIM.html
Chargé de paie et consolidation,AKD,Ressources Humaines / Recrutement / Intérim,Casablanca,,,CDI,29 Apr-21:19,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371995/Chargé-de-paie-et-consolidation.html
Un(e) responsable des appels d'offres,Smart Electro Service,Accueil / Secrétariat / Administration,Casablanca,,"justifiee plus de 10 ans dans le meme poste propose, qui seras responsable des appels d'offres concernant les marches publics et prives pour le pilotage et le suivi des appels d'offres des projets electriques, ayant un esprit organisationnel, qui maitrise parfaitement la gestion des appels d'offres (les dossiers administratifs, techniques et financiers). - vous aurez comme principale",A discuter,29 Apr-21:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369231/un(e)-Responsable-des-appels-doffres.html
Agence d'assurance cherche aide comptable,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,29 Apr-20:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370487/AGENCE-DASSURANCE-CHERCHE-AIDE-COMPTABLE.html
Ecole recrute plusieurs profils pour 2026 2027,ECOLE PRIVEE,Education / Social / Petite Enfance,Casablanca,,,A discuter,29 Apr-20:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364097/Ecole-recrute-plusieurs-profils-pour-2026-2027.html
Agence d'assurance cherche des apporteurs d'affair,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,29 Apr-20:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370478/AGENCE-DASSURANCE-CHERCHE-DES-APPORTEURS-DAFFAIR.html
Agence d'assurance cherche gestionnaire production,AGENCE WAFA ASSURANCE BOUSKOURA,Banque / Finance / Assurance,Casablanca,,dans le,A discuter,29 Apr-20:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370470/AGENCE-DASSURANCE-CHERCHE-GESTIONNAIRE-PRODUCTION.html
Anniversaire et ateliers créatifs,Proman maroc,Education / Social / Petite Enfance,Casablanca,,,Interim,29 Apr-20:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371974/anniversaire-et-ateliers-créatifs.html
Chargée de la relation client whatsapp maroc/dubai,LA FONDA,Commercial / Vente,Tout le Maroc,"reactivite, rigueur, elegance, empathie exigence la fonda : savoir valoriser un produit premium adapter son discours a une clientele exigeante (maroc & international) creer une experience client fluide et qualitative positionnement : ce nest pas un agent call center cest un profil commercial premium, capable de vendre avec intelligence et elegance. merci denvoyer votre candidature a : recrutement@lafonda.ma avec la reference : maducrc-01",premium et en transformant chaque echange en vente. role relation client haut de gamme vente digitale representation de la marque objectif : convertir une conversation en commande,CDI,29 Apr-19:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367236/Chargée-de-la-relation-client-Whatsapp-MarocDubai.html
Superviseur / chef d'équipe / agent de néttoyage,ARTIS ENVIRONNEMENT,Sécurité / Surveillance / Gardiennage,Marrakech,experience souhaitee dans le nettoyage ou un poste similaire,souhaitee dans le nettoyage ou un poste similaire,CDD,29 Apr-19:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364063/Superviseur-Chef-déquipe-Agent-de-néttoyage.html
Commerciale / vendeuse magasin,Librairie à Marrakech,Commercial / Vente,Marrakech,,en vente maitrise des outils informatique sage et caisse (souhaitee) presentation soignee personne interessee veuillez envoyer votre cv avec photo,CDI,29 Apr-19:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367246/Commerciale-Vendeuse-magasin.html
Collaborateur magasin,Confidentiel,Grande Distribution,Tanger,,,Anapec,29 Apr-19:09,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371944/COLLABORATEUR-MAGASIN-TANGER.html
Vendeuse/ assistante manager,,Commercial / Vente,Casablanca,- bonne presentation - sens de laccueil et du service client - experience en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,A discuter,29 Apr-19:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371253/VENDEUSE-ASSISTANTE-MANAGER.html
Gestionnaire point de vente,LA FONDA,Commercial / Vente,Tout le Maroc,"experience confirmee en gestion de point de vente (idealement alimentaire / retail) forte capacite manageriale et sens du leadership maitrise des operations (stock, caisse, hygiene, organisation) sens du commerce et orientation resultats rigueur, autonomie et sens des responsabilites capacite a travailler sous pression et a gerer des equipes terrain poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer votre candidature par emailavec la reference : gestpv-01","confirmee en gestion de point de vente (idealement alimentaire / retail) forte capacite manageriale et sens du leadership maitrise des operations (stock, caisse, hygiene, organisation) sens du commerce et orientation resultats rigueur, autonomie et sens des responsabilites capacite a travailler sous pression et a gerer des equipes terrain poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer votre candidature par emailavec la reference : gestpv-01",CDI,29 Apr-18:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367216/Gestionnaire-Point-de-vente.html
Boucher(e),LA FONDA,Autre,Tout le Maroc,"experience en boucherie souhaitee maitrise des techniques de base de decoupe rigueur, discipline et sens du detail capacite a travailler en equipe sens des responsabilites et respect des normes horaires de travail de 08h a 21h00 ( 8h par jour ) poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer par emailavec la reference : bouch-01","en boucherie souhaitee maitrise des techniques de base de decoupe rigueur, discipline et sens du detail capacite a travailler en equipe sens des responsabilites et respect des normes horaires de travail de 08h a 21h00 ( 8h par jour ) poste base a casablanca/rabat/tanger/fes/marrakech merci denvoyer par emailavec la reference : bouch-01",Interim,29 Apr-18:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367213/Boucher(e).html
Caissier(e),LA FONDA,Autre,Tout le Maroc,"experience en caisse et en relation client souhaitee sens du service, excellent relationnel rigueur, fiabilite et honnetete irreprochable gerer son stress presentation soignee et attitude professionnelle poste base a : casablanca/rabat/tanger/fes/marrakech candidature a envoyer par email avec la reference : cais-01","en caisse et en relation client souhaitee sens du service, excellent relationnel rigueur, fiabilite et honnetete irreprochable gerer son stress presentation soignee et attitude professionnelle poste base a : casablanca/rabat/tanger/fes/marrakech candidature a envoyer par email avec la reference : cais-01",Interim,29 Apr-18:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367210/Caissier(e).html
Responsable marketing & développement site web,OUSSAAD NEGOCE,Marketing / Communication / Publicité / Rp,Casablanca,"(souhaitees) creation/optimisation landing pages gestion tracking (pixel, conversion, evenements) gestion cms et integration notions ux/ui (parcours, wireframes simples, a/b tests si possible)","utilisateur (ux/ui) et la performance (vitesse, accessibilite) assurer le suivi via analytics (kpi, conversion, comportement utilisateurs) pilotage & coordination travailler avec les equipes internes et/ou prestataires (design, dev, agence, graphisme) gerer le planning, les priorites et les livrables maintenir la documentation et les bonnes pratiques (tracking, deploiements, versions)",CDI,29 Apr-18:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366434/Responsable-Marketing-et-Développement-Site-Web.html
Commercial grands comptes b2b,OUSSAAD NEGOCE,Commercial / Vente,Casablanca,"experience confirmee en b2b grands comptes autonomie et reelle capacite a gerer un cycle de vente jusquau closing excellente communication, negociation et orientation resultats maitrise des outils commerciaux (crm, reporting) critere obligatoire (tres important) la candidate doit disposer de son propre portefeuille client actif (grands comptes / comptes strategiques).","confirmee en b2b grands comptes autonomie et reelle capacite a gerer un cycle de vente jusquau closing excellente communication, negociation et orientation resultats maitrise des outils commerciaux (crm, reporting) critere obligatoire (tres important) la candidate doit disposer de son propre portefeuille client actif (grands comptes / comptes strategiques).",CDI,29 Apr-18:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366430/COMMERCIAL-GRANDS-COMPTES-B2B.html
Jardinier,Hôtel de luxe,Tourisme / Hôtellerie / Restauration,El jadida,,,Interim,29 Apr-18:29,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371930/Jardinier,-El-jadida.html"
Barman hotel taghazout,xxxx,Tourisme / Hôtellerie / Restauration,Agadir,,,Interim,29 Apr-18:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371929/BARMAN-Hotel-TAGHAZOUT.html
Chargée de réservation & relation client,DIAMONDS BLUE AUTO,Automobile,Casablanca,en prospection btob / btoc. * permis b apprecie. conditions : * horaires fixes : 10h a 19h * disponibilite ponctuelle hors horaires selon besoins.,de 1 a 3 ans minimum sur un poste similaire souhaitee.,CDI,29 Apr-18:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367973/Chargée-de-Réservation-et-Relation-Client.html
Electricien specialise en autocars,,Transport / Achat / Logistique,Tetouan,,dans un poste similaire (autocars ou poids lourds) -maitrise des systemes electriques et electroniques,,29 Apr-18:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364518/ELECTRICIEN-SPECIALISE-EN-AUTOCARS.html
Chauffeur autocar (permis d),,Transport / Achat / Logistique,Tout le Maroc,,souhaitee (minimum 2 ans ) - bonne connaissance du reseau routier,,29 Apr-18:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364511/CHAUFFEUR-AUTOCAR-(Permis-D).html
Serveur hôtel taghazout,xxxx,Tourisme / Hôtellerie / Restauration,Agadir,,,Interim,29 Apr-18:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371924/Serveur-Hôtel-TAGHAZOUT.html
Femme de chambre rabat,xxxx,Tourisme / Hôtellerie / Restauration,Casablanca,,,Interim,29 Apr-18:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10350423/Femme-de-chambre-RABAT.html
Coursier moto ain sebaa,xxxx,Autre,Casablanca,,,Interim,29 Apr-18:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365116/Coursier-MOTO-Ain-sebaa.html
Chauffeur laveur préparateur ain sebaa,xxxx,Transport / Achat / Logistique,Casablanca,,,Interim,29 Apr-18:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371921/Chauffeur-Laveur-Préparateur-Ain-Sebaa.html
Pharmacie demande stagiaire,pharmacie,Biologie / Chimie / Pharmaceutique,Agadir,,"36 ans pour un stage pe embauche remunere a 3000 dh/moi, quelle soit residente a hay salam , bensergao ou al wifak 0637879834",Stage,29 Apr-18:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367188/pharmacie-demande-stagiaire.html
Assistante commerciale / polyvalente / admission,école privé,Accueil / Secrétariat / Administration,Casablanca,,professionnelle dau moins 2 ans dans un poste similaire. merci denvoyer votre cv en precisant clairement en objet le poste pour lequel vous postulez.,A discuter,29 Apr-17:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366415/Assistante-commerciale-polyvalente-admission.html
Agent commercial call center,Gastro,Commercial / Vente,Marrakech,,,CDI,29 Apr-17:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365279/Agent-commercial-call-center.html
Technicien maintenance,Gastro,Maintenance / Entretien,Marrakech,,,CDI,29 Apr-17:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365283/Technicien-maintenance.html
Assistante polyvalente,Anonyme,Automobile,Mohammedia,"diplome en administration, secretariat ou equivalent bonne maitrise des outils bureautiques (word, excel...) sens de lorganisation, rigueur et autonomie aisance relationnelle et capacite a travailler en equipe la connaissance du secteur automobile est un plus lieu : mohammedia type de",,A discuter,29 Apr-17:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371891/Assistante-polyvalente.html
Aide technicien intérim ville tata,Confidentiel,Industrie / Ingénierie / Energie,Agadir,,,Interim,29 Apr-17:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371889/Aide-technicien-intérim-ville-TATA.html
Offre d’emploi opérateur de saisie (transit & do,T.O.A.T,Transport / Achat / Logistique,Casablanca,"minimum 2 ans dexperience dans un poste similaire (transit/douane) maitrise obligatoire du systeme badr maitrise du systeme portnet bonne connaissance des procedures douanieres marocaines rigueur, organisation et sens des responsabilites capacite a travailler sous pression - nous offrons un environnement professionnel dynamique une evolution au sein dune structure reconnue dans le secteur du transit poste base a casablanca candidature merci denvoyer votre cv via ce site marocannonces (en precisant en objet : candidature operateur de saisie)","dans un poste similaire (transit/douane) maitrise obligatoire du systeme badr maitrise du systeme portnet bonne connaissance des procedures douanieres marocaines rigueur, organisation et sens des responsabilites capacite a travailler sous pression - nous offrons un environnement professionnel dynamique une evolution au sein dune structure reconnue dans le secteur du transit poste base a casablanca candidature merci denvoyer votre cv via ce site marocannonces (en precisant en objet : candidature operateur de saisie)",CDI,29 Apr-17:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371204/Offre-d’emploi-–-Opérateur-de-saisie-(Transit-et-Do.html
Agent de fabrication,CONFIDENTIEL,Maintenance / Entretien,Casablanca,formation cap/bep ou experience en production rigueur et esprit d'equipe disponibilite en horaires postes - conditions,en production rigueur et esprit d'equipe disponibilite en horaires postes - conditions,A discuter,29 Apr-17:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371881/Agent-de-fabrication.html
Comptable (h/f),HOTIN,Industrie / Ingénierie / Energie,Rabat,"bac+3 a bac+5 en comptabilite / finance experience de 2+ ans en comptabilite maitrise d'un logiciel comptable (sage, oracle) et excel - conditions","de 2+ ans en comptabilite maitrise d'un logiciel comptable (sage, oracle) et excel - conditions",A discuter,29 Apr-17:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371878/Comptable-(hf)-–-rabat.html
Vendeur (se) / caissier (e),INTERNATIONAL DUTTY FREE SHOPS,Commercial / Vente,Fès,,,Anapec,29 Apr-17:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370376/Vendeur-(se)-caissier-(e).html
